upstream_ref	author	head_sha	decision	status	maintainer_signal	bot_verdict	bot_sha	scope	behavior	reason
pr-1620	heavygee	72bd413a1c90a67f55e568c5b1097c3f8c46a8bd	carry	ready	clear	clean	72bd413a1c90a67f55e568c5b1097c3f8c46a8bd	proportional	accepted-change	maintained carry; ready and clean
pr-1618	heavygee	5fa5696566c1831a6803d70b3d20ae0eb5ba8dcb	defer	ready	review	review	-	review-huge	review	deferred this round; awaiting official review
pr-1617	techotaku39	ea5ec5c3c1dc240dee87ab54282e4a47622ee3f0	carry	ready	clear	clean	ea5ec5c3c1dc240dee87ab54282e4a47622ee3f0	proportional	accepted-change	maintained carry; ready and clean
pr-1616	techotaku39	455917d62f10cbc2034dc08de5b51ee957ee18ee	carry	ready	clear	clean	455917d62f10cbc2034dc08de5b51ee957ee18ee	proportional	accepted-change	maintained carry; ready and clean
pr-1615	techotaku39	131aafd2e94680cfa1ec2baefe78281d4ccab0b2	carry	ready	clear	clean	131aafd2e94680cfa1ec2baefe78281d4ccab0b2	proportional	accepted-change	maintained carry; ready and clean
pr-1614	MAOJIASONG	64770fb335544e95bbbc549c55e3d587b428d8d0	defer	ready	review	review	-	review-large	review	deferred this round; awaiting official review
pr-1613	heavygee	82caab248e7a20255eea0059432edd9f2a9af88f	defer	ready	review	review	-	review-large	review	deferred this round; awaiting official review
pr-1611	techotaku39	0530c4a99ab68ff74780b8be963db584a7ace5cf	defer	merge-unstable	review	review	-	review-huge	review	new or changed PR head; awaiting upstream review
pr-1607	swear01	311e55bb9d54d49ce5ba39ac20852bb673de37b5	defer	checks-failed	review	review	-	review-large	review	deferred this round; awaiting official review
pr-1605	junmo-kim	1b3093ee0963044f1b5112c3e4e3200f263b2312	defer	merge-dirty	review	review	-	review-huge	review	deferred this round; awaiting official review
pr-1604	techotaku39	5292741259f26524fbee9d1eac836d9fce196976	defer	ready	review	review	-	review	review	new or changed PR head; awaiting upstream review
pr-1603	techotaku39	2fbdb4f1f4c5e89da4890e1244e9be93dd70bb71	carry	ready	clear	clean	2fbdb4f1f4c5e89da4890e1244e9be93dd70bb71	proportional	accepted-change	maintained carry; ready and clean
pr-1599	techotaku39	6da3c37d2944f862f06b12273e274e765d8e12c9	defer	ready	review	review	-	review-large	review	deferred this round; awaiting official review
pr-1598	techotaku39	19e40337b46343520eba83a29416f0e045269a87	defer	ready	review	review	-	review-huge	review	new or changed PR head; awaiting upstream review
pr-1597	swear01	17972547187d34df74038a531ce9758b06e78d6f	drop	merge-dirty	review	review	-	review-huge	review	explicit historical drop
